fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-02 23:00:00+0100,47.961864,42.91915666666666,29.234482333333332,7.260053,8.310618666666665,8.040000916666667,23,0,0,1,-1.0,-0.01891386793312444,1.0,0.1439272999141915
2023-01-03 00:00:00+0100,44.947375,45.01360199999999,32.283982333333334,5.346064,7.687631666666667,8.055448166666666,0,1,0,1,-1.0,-0.0129669377457311,1.0,0.1695030104824488
2023-01-03 01:00:00+0100,37.131322,43.34685366666667,34.56120225,4.191467,5.5991946666666665,8.0257975,1,1,0,1,-1.0,-0.00740752678733958,1.0,0.18406464072652273
2023-01-03 02:00:00+0100,25.974858,36.017851666666665,35.36461358333333,2.437103,3.9915446666666674,7.665798916666667,2,1,0,1,1.0,0.023889954553553916,1.0,0.1797730976408234
2023-01-03 03:00:00+0100,13.673514,25.593231333333335,34.916325416666666,3.137706,3.2554253333333336,7.32338875,3,1,0,1,1.0,0.07348329005814558,1.0,0.20021470890452758
2023-01-03 04:00:00+0100,10.069806,16.572726,34.299245166666665,2.678053,2.750954,6.8360804166666655,4,1,0,1,1.0,0.11763023167119568,1.0,0.20540377669486914
2023-01-03 05:00:00+0100,7.586825,10.443381666666667,32.976095666666666,2.222389,2.6793826666666667,6.015670916666667,5,1,0,1,1.0,0.1429756718068469,1.0,0.2169660375419421
2023-01-03 06:00:00+0100,6.437189,8.031273333333333,30.193772499999998,1.828303,2.242915,5.239810083333333,6,1,0,1,1.0,0.1566975127207768,1.0,0.21699040438458245
2023-01-03 07:00:00+0100,8.256678,7.426897333333334,27.322225500000002,10.754636,4.935109333333333,5.546344833333333,7,1,0,1,1.0,0.16653556641993872,1.0,0.19893844454388204
2023-01-03 08:00:00+0100,9.827428,8.173765000000001,24.388538750000006,6.312961,6.298633333333332,5.320044833333333,8,1,0,1,1.0,0.17898873687161643,1.0,0.2347707556285491
2023-01-03 09:00:00+0100,14.727894,10.937333333333333,22.39386,15.412294,10.826630333333334,6.003150583333333,9,1,0,1,1.0,0.18320633836329314,1.0,0.15217826299382808
2023-01-03 10:00:00+0100,16.688944,13.748088666666666,20.273641416666667,9.035381,10.253545333333333,5.8847008333333335,10,1,0,1,1.0,0.19370009529582255,1.0,0.21028886687661047
2023-01-03 11:00:00+0100,20.367275,17.261371,17.974092333333335,6.885292,10.444322333333332,5.85347075,11,1,0,1,1.0,0.16609323367415785,1.0,0.2161125165755005
2023-01-03 12:00:00+0100,16.595361,17.88386,15.611424499999998,8.070131,7.996934666666665,6.080476333333333,12,1,0,1,1.0,0.1765565281985283,1.0,0.23180751946786948
2023-01-03 13:00:00+0100,14.603964,17.188866666666666,13.734144666666667,7.482983,7.4794686666666665,6.3547693333333335,13,1,0,1,1.0,0.19672213511452563,1.0,0.2377652359598128
2023-01-03 14:00:00+0100,15.708981,15.636102,12.878654916666667,8.435525,7.996213,6.854637833333334,14,1,0,1,1.0,0.194284207750678,1.0,0.22706865954489225
2023-01-03 15:00:00+0100,16.895639,15.736194666666668,13.147165333333332,13.163089,9.693865666666666,7.6900864166666665,15,1,0,1,1.0,0.18814543143296858,1.0,0.18890083887480708
2023-01-03 16:00:00+0100,20.719661,17.774760333333333,14.034653249999998,12.01165,11.203421333333333,8.467886166666666,16,1,0,1,1.0,0.14965110207461096,1.0,0.1933628291311622
2023-01-03 17:00:00+0100,45.630125,27.748475,17.20492825,13.929556,13.034765,9.443483416666666,17,1,0,1,1.0,0.0489082938898483,1.0,0.1718513471215818
2023-01-03 18:00:00+0100,40.441711,35.59716566666666,20.038638416666668,16.64625,14.195818666666666,10.678312333333333,18,1,0,1,1.0,0.042087478923299004,1.0,0.14446365592962407
2023-01-03 19:00:00+0100,61.844381,49.305405666666665,24.50428033333333,23.153992,17.909932666666666,11.711592000000001,19,1,0,1,1.0,0.0036801203608964883,1.0,0.09303258080548005
2023-01-03 20:00:00+0100,91.522581,64.602891,31.312209749999997,18.661069,19.487103666666666,12.740601,20,1,0,1,-1.0,-0.019947048779055288,1.0,0.09917893685553036
2023-01-03 21:00:00+0100,85.817811,79.72825766666666,37.2363695,17.974869,19.929976666666665,12.954148916666666,21,1,0,1,-1.0,-0.03311006843073616,1.0,0.1001841415834761
2023-01-03 22:00:00+0100,38.238833,71.85974166666666,39.03219358333333,10.09825,15.578062666666666,13.042721333333333,22,1,0,1,-1.0,-0.010654796189045856,1.0,0.14055100140474108
2023-01-03 23:00:00+0100,26.561203,50.205949000000004,39.54835425,6.951553,11.674890666666665,13.048243083333332,23,1,0,1,1.0,0.012575020416329075,1.0,0.1400925848430844
2023-01-04 00:00:00+0100,20.903078,28.567704666666668,39.90733066666667,5.474481,7.508094666666665,12.831938916666667,0,2,0,1,1.0,0.05820418694887963,1.0,0.14773578732577497
2023-01-04 01:00:00+0100,11.672586,19.712289000000002,39.66304916666667,5.167014,5.864349333333332,12.638941500000001,1,2,0,1,1.0,0.08558135874817296,1.0,0.16888073264506642
2023-01-04 02:00:00+0100,7.99115,13.522271333333334,39.019896583333335,6.476642,5.7060456666666655,12.47570125,2,2,0,1,1.0,0.12779159970034648,1.0,0.166354845529457
2023-01-04 03:00:00+0100,7.585983,9.083239666666666,38.24409191666667,8.315969,6.653208333333332,12.071774583333335,3,2,0,1,1.0,0.13956628590853248,1.0,0.16759437667076793
2023-01-04 04:00:00+0100,7.595508,7.7242136666666665,37.150412499999995,6.149233,6.980614666666665,11.583239833333336,4,2,0,1,1.0,0.1426797463414633,1.0,0.1930119338587034
2023-01-04 05:00:00+0100,6.88035,7.353946999999999,33.92126458333333,5.276856,6.580685999999999,10.8621815,5,2,0,1,1.0,0.1516949665639935,1.0,0.2038648630353816
2023-01-04 06:00:00+0100,4.933831,6.469896333333334,30.962274583333336,3.895672,5.107253666666666,9.799633333333333,6,2,0,1,1.0,0.16746983106010271,1.0,0.2103394102491491
2023-01-04 07:00:00+0100,4.571861,5.462014,26.189564583333336,3.719783,4.297436999999999,8.180115916666667,7,2,0,1,1.0,0.18490591233856135,1.0,0.22257642847266224
2023-01-04 08:00:00+0100,3.349792,4.285161333333334,18.841832166666666,2.774378,3.463277666666665,6.856225000000001,8,2,0,1,1.0,0.22551907535812427,1.0,0.23961098025999328
2023-01-04 09:00:00+0100,3.261808,3.7278203333333333,11.96216525,2.278436,2.9241989999999993,5.548188916666667,9,2,0,1,1.0,0.24719497468448365,1.0,0.23225909776638565
2023-01-04 10:00:00+0100,2.527675,3.0464249999999997,8.986235416666666,1.909928,2.320913999999999,4.86582875,10,2,0,1,1.0,0.26775375783545186,1.0,0.23423762380572088
2023-01-04 11:00:00+0100,2.133464,2.640982333333333,6.9505905,1.748961,1.979108333333332,4.432279416666667,11,2,0,1,1.0,0.27823814082066306,1.0,0.23243833768019578
2023-01-04 12:00:00+0100,1.779369,2.146836,5.356948083333333,1.696614,1.7851676666666656,4.117457166666667,12,2,0,1,1.0,0.2804956644591486,1.0,0.23679525597998874
